ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,iata_code,local_code,coordinates
KRIV,medium_airport,March ARB Airport,1536.0,,US,US-CA,Riverside,KRIV,RIV,RIV,"-117.259003, 33.880699"
KRIW,medium_airport,Riverton Regional Airport,5525.0,,US,US-WY,Riverton,KRIW,RIW,RIW,"-108.459999084, 43.064201355"
KRKS,medium_airport,Southwest Wyoming Regional Airport,6764.0,,US,US-WY,Rock Springs,KRKS,RKS,RKS,"-109.065001, 41.5942"
KRME,medium_airport,Griffiss International Airport,504.0,,US,US-NY,Rome,KRME,RME,RME,"-75.40699768, 43.23379898"
KRMG,medium_airport,Richard B Russell Airport,644.0,,US,US-GA,Rome,KRMG,RMG,RMG,"-85.15799713130001, 34.3506011963"
KRND,large_airport,Randolph Air Force Base,761.0,,US,US-TX,Universal City,KRND,RND,RND,"-98.27890015, 29.52969933"
KRNH,medium_airport,New Richmond Regional Airport,998.0,,US,US-WI,New Richmond,KRNH,,RNH,"-92.5381012, 45.14830017"
KRNO,large_airport,Reno Tahoe International Airport,4415.0,,US,US-NV,Reno,KRNO,RNO,RNO,"-119.76799774169922, 39.49909973144531"
KROA,large_airport,RoanokeÃ¢Â€Â“Blacksburg Regional Airport,1175.0,,US,US-VA,Roanoke,KROA,ROA,ROA,"-79.975403, 37.3255"
KROC,large_airport,Greater Rochester International Airport,559.0,,US,US-NY,Rochester,KROC,ROC,ROC,"-77.67240142822266, 43.118900299072266"
KROW,medium_airport,Roswell Air Center Airport,3671.0,,US,US-NM,Roswell,KROW,ROW,ROW,"-104.530998, 33.301601"
KRSL,medium_airport,Russell Municipal Airport,1862.0,,US,US-KS,Russell,KRSL,RSL,RSL,"-98.811798095703, 38.872100830078"
KRST,large_airport,Rochester International Airport,1317.0,,US,US-MN,Rochester,KRST,RST,RST,"-92.5, 43.90829849243164"
KRSW,large_airport,Southwest Florida International Airport,30.0,,US,US-FL,Fort Myers,KRSW,RSW,RSW,"-81.75520324707031, 26.53619956970215"
KRUT,medium_airport,Rutland - Southern Vermont Regional Airport,787.0,,US,US-VT,Rutland,KRUT,RUT,RUT,"-72.94960022, 43.52939987"
KRVS,medium_airport,Richard Lloyd Jones Jr Airport,638.0,,US,US-OK,Tulsa,KRVS,RVS,RVS,"-95.984596252441, 36.039600372314"
KRWF,medium_airport,Redwood Falls Municipal Airport,1024.0,,US,US-MN,Redwood Falls,KRWF,RWF,RWF,"-95.08229828, 44.54719925"
KRWI,medium_airport,Rocky Mount Wilson Regional Airport,159.0,,US,US-NC,Rocky Mount,KRWI,RWI,RWI,"-77.89189910888672, 35.856300354003906"
KRWL,medium_airport,Rawlins Municipal Airport/Harvey Field,6813.0,,US,US-WY,Rawlins,KRWL,RWL,RWL,"-107.1999969, 41.80559921"
KRYY,medium_airport,Cobb County-Mc Collum Field,1040.0,,US,US-GA,Atlanta,KRYY,,RYY,"-84.59860229, 34.01319885"
KSAC,medium_airport,Sacramento Executive Airport,24.0,,US,US-CA,Sacramento,KSAC,SAC,SAC,"-121.492996216, 38.5125007629"
KSAF,medium_airport,Santa Fe Municipal Airport,6348.0,,US,US-NM,Santa Fe,KSAF,SAF,SAF,"-106.088996887, 35.617099762"
KSAN,large_airport,San Diego International Airport,17.0,,US,US-CA,San Diego,KSAN,SAN,SAN,"-117.190002441, 32.7336006165"
KSAT,large_airport,San Antonio International Airport,809.0,,US,US-TX,San Antonio,KSAT,SAT,SAT,"-98.469803, 29.533701"
KSAV,large_airport,Savannah Hilton Head International Airport,50.0,,US,US-GA,Savannah,KSAV,SAV,SAV,"-81.20210266, 32.12760162"
KSAW,medium_airport,Sawyer International Airport,1221.0,,US,US-MI,Marquette,KSAW,MQT,SAW,"-87.395401001, 46.353599548300004"
KSBA,medium_airport,Santa Barbara Municipal Airport,13.0,,US,US-CA,Santa Barbara,KSBA,SBA,SBA,"-119.8399963, 34.42620087"
KSBD,medium_airport,San Bernardino International Airport,1159.0,,US,US-CA,San Bernardino,KSBD,SBD,SBD,"-117.23500061, 34.0954017639"
KSBN,large_airport,South Bend Regional Airport,799.0,,US,US-IN,South Bend,KSBN,SBN,SBN,"-86.31729888916016, 41.70869827270508"
KSBP,medium_airport,San Luis County Regional Airport,212.0,,US,US-CA,San Luis Obispo,KSBP,SBP,SBP,"-120.641998291, 35.236801147499996"
KSBY,medium_airport,Salisbury Ocean City Wicomico Regional Airport,52.0,,US,US-MD,Salisbury,KSBY,SBY,SBY,"-75.51029968261719, 38.34049987792969"
KSCH,medium_airport,Schenectady County Airport,378.0,,US,US-NY,Schenectady,KSCH,SCH,SCH,"-73.928901672363, 42.852500915527"
KSCK,medium_airport,Stockton Metropolitan Airport,33.0,,US,US-CA,Stockton,KSCK,SCK,SCK,"-121.2379989624, 37.894199371338"
KSDF,large_airport,Louisville Muhammad Ali International Airport,501.0,,US,US-KY,Louisville,KSDF,SDF,SDF,"-85.736, 38.1744"
KSDM,medium_airport,Brown Field Municipal Airport,526.0,,US,US-CA,San Diego,KSDM,SDM,SDM,"-116.98000335693, 32.572299957275"
KSDY,medium_airport,Sidney - Richland Regional Airport,1985.0,,US,US-MT,Sidney,KSDY,SDY,SDY,"-104.193001, 47.706902"
KSEA,large_airport,Seattle Tacoma International Airport,433.0,,US,US-WA,Seattle,KSEA,SEA,SEA,"-122.308998, 47.449001"
KSFB,large_airport,Orlando Sanford International Airport,55.0,,US,US-FL,Orlando,KSFB,SFB,SFB,"-81.23750305175781, 28.777599334716797"
KSFF,medium_airport,Felts Field,1953.0,,US,US-WA,Spokane,KSFF,SFF,SFF,"-117.32299804688, 47.682800292969"
KSFO,large_airport,San Francisco International Airport,13.0,,US,US-CA,San Francisco,KSFO,SFO,SFO,"-122.375, 37.61899948120117"
KSGF,large_airport,Springfield Branson National Airport,1268.0,,US,US-MO,Springfield,KSGF,SGF,SGF,"-93.38860321, 37.24570084"
KSGH,medium_airport,Springfield-Beckley Municipal Airport,1051.0,,US,US-OH,Springfield,KSGH,SGH,SGH,"-83.840202331543, 39.840301513672"
KSGJ,medium_airport,Northeast Florida Regional Airport,10.0,,US,US-FL,St Augustine,KSGJ,UST,SGJ,"-81.339798, 29.9592"
KSGR,medium_airport,Sugar Land Regional Airport,82.0,,US,US-TX,Houston,KSGR,SGR,SGR,"-95.65650177002, 29.622299194336"
KSGU,medium_airport,St George Municipal Airport,2941.0,,US,US-UT,St George,KSGU,SGU,SGU,"-113.510306, 37.036389"
KSHR,medium_airport,Sheridan County Airport,4021.0,,US,US-WY,Sheridan,KSHR,SHR,SHR,"-106.9800033569336, 44.76919937133789"
KSHV,medium_airport,Shreveport Regional Airport,258.0,,US,US-LA,Shreveport,KSHV,SHV,SHV,"-93.8256, 32.446602"
KSJC,large_airport,Norman Y. Mineta San Jose International Airport,62.0,,US,US-CA,San Jose,KSJC,SJC,SJC,"-121.929001, 37.362598"
KSJT,medium_airport,San Angelo Regional Mathis Field,1919.0,,US,US-TX,San Angelo,KSJT,SJT,SJT,"-100.49600219726562, 31.35770034790039"
KSKA,large_airport,Fairchild Air Force Base,2461.0,,US,US-WA,Spokane,KSKA,SKA,SKA,"-117.65599823, 47.6151008606"
KSKF,medium_airport,Lackland Air Force Base,691.0,,US,US-TX,San Antonio,KSKF,SKF,SKF,"-98.58110046, 29.38419914"
KSLC,large_airport,Salt Lake City International Airport,4227.0,,US,US-UT,Salt Lake City,KSLC,SLC,SLC,"-111.97799682617188, 40.78839874267578"
KSLE,medium_airport,Salem Municipal Airport/McNary Field,214.0,,US,US-OR,Salem,KSLE,SLE,SLE,"-123.0029984, 44.90950012"
KSLI,medium_airport,Los Alamitos Army Air Field,32.0,,US,US-CA,Los Alamitos,KSLI,,SLI,"-118.052002, 33.79000092"
KSLK,medium_airport,Adirondack Regional Airport,1663.0,,US,US-NY,Saranac Lake,KSLK,SLK,SLK,"-74.2061996459961, 44.38529968261719"
KSLN,medium_airport,Salina Municipal Airport,1288.0,,US,US-KS,Salina,KSLN,SLN,SLN,"-97.6521987915039, 38.79100036621094"
KSME,medium_airport,Lake Cumberland Regional Airport,927.0,,US,US-KY,Somerset,KSME,SME,SME,"-84.6158981323, 37.053398132299996"
KSMF,large_airport,Sacramento International Airport,27.0,,US,US-CA,Sacramento,KSMF,SMF,SMF,"-121.59100341796875, 38.69540023803711"
KSMN,medium_airport,Lemhi County Airport,4043.0,,US,US-ID,Salmon,KSMN,SMN,SMN,"-113.880996704, 45.1237983704"
KSMX,medium_airport,Santa Maria Pub/Capt G Allan Hancock Field,261.0,,US,US-CA,Santa Maria,KSMX,SMX,SMX,"-120.4570007, 34.89889908"
KSNA,large_airport,John Wayne Airport-Orange County Airport,56.0,,US,US-CA,Santa Ana,KSNA,SNA,SNA,"-117.8679962, 33.67570114"
KSNS,medium_airport,Salinas Municipal Airport,85.0,,US,US-CA,Salinas,KSNS,SNS,SNS,"-121.60600280762, 36.662799835205"
KSNY,medium_airport,Sidney Municipal-Lloyd W Carr Field,4313.0,,US,US-NE,Sidney,KSNY,SNY,SNY,"-102.9850006, 41.10129929"
KSOA,medium_airport,Sonora Municipal Airport,2140.0,,US,US-TX,Sonora,KSOA,,SOA,"-100.6490020752, 30.585699081421"
KSPI,large_airport,Abraham Lincoln Capital Airport,598.0,,US,US-IL,Springfield,KSPI,SPI,SPI,"-89.67790222, 39.84410095"
KSPS,large_airport,Sheppard Air Force Base-Wichita Falls Municipal Airport,1019.0,,US,US-TX,Wichita Falls,KSPS,SPS,SPS,"-98.491898, 33.9888"
KSRQ,large_airport,Sarasota Bradenton International Airport,30.0,,US,US-FL,Sarasota/Bradenton,KSRQ,SRQ,SRQ,"-82.55439758300781, 27.39539909362793"
KSRR,medium_airport,Sierra Blanca Regional Airport,6814.0,,US,US-NM,Ruidoso,KSRR,RUI,SRR,"-105.53500366211, 33.462799072266"
KSSC,large_airport,Shaw Air Force Base,241.0,,US,US-SC,Sumter,KSSC,SSC,SSC,"-80.47059631, 33.97269821"
KSSF,medium_airport,Stinson Municipal Airport,577.0,,US,US-TX,San Antonio,KSSF,SSF,SSF,"-98.471099853516, 29.336999893188"
KSSI,medium_airport,St Simons Island Airport,19.0,,US,US-GA,St Simons Island,KSSI,SSI,SSI,"-81.391296, 31.1518"
KSTC,medium_airport,St Cloud Regional Airport,1031.0,,US,US-MN,St Cloud,KSTC,STC,STC,"-94.05989837646484, 45.546600341796875"
KSTJ,medium_airport,Rosecrans Memorial Airport,826.0,,US,US-MO,St Joseph,KSTJ,STJ,STJ,"-94.909698486328, 39.771900177002"
KSTL,large_airport,St Louis Lambert International Airport,618.0,,US,US-MO,St Louis,KSTL,STL,STL,"-90.370003, 38.748697"
KSTP,medium_airport,St Paul Downtown Holman Field,705.0,,US,US-MN,St Paul,KSTP,STP,STP,"-93.05999755859375, 44.93450164794922"
KSTS,medium_airport,Charles M. Schulz Sonoma County Airport,128.0,,US,US-CA,Santa Rosa,KSTS,STS,STS,"-122.8130035, 38.50899887"
KSUN,medium_airport,Friedman Memorial Airport,5318.0,,US,US-ID,Hailey,KSUN,SUN,SUN,"-114.2959976, 43.50439835"
KSUS,large_airport,Spirit of St Louis Airport,463.0,,US,US-MO,St Louis,KSUS,SUS,SUS,"-90.652000427246, 38.662101745605"
KSUU,large_airport,Travis Air Force Base,62.0,,US,US-CA,Fairfield,KSUU,SUU,SUU,"-121.92700195312, 38.262699127197"
KSUX,large_airport,Sioux Gateway Airport/Brigadier General Bud Day Field,1098.0,,US,US-IA,Sioux City,KSUX,SUX,SUX,"-96.384399, 42.402599"
KSUZ,medium_airport,Saline County Regional Airport,390.0,,US,US-AR,Benton,KSUZ,,SUZ,"-92.479401, 34.590599"
KSVN,medium_airport,Hunter Army Air Field,41.0,,US,US-GA,Savannah,KSVN,SVN,SVN,"-81.14569855, 32.00999832"
KSWF,medium_airport,New York Stewart International Airport,491.0,,US,US-NY,Newburgh,KSWF,SWF,SWF,"-74.104797, 41.504101"
KSWO,medium_airport,Stillwater Regional Airport,1000.0,,US,US-OK,Stillwater,KSWO,SWO,SWO,"-97.08570098877, 36.161201477051"
KSYR,large_airport,Syracuse Hancock International Airport,421.0,,US,US-NY,Syracuse,KSYR,SYR,SYR,"-76.1063003540039, 43.11119842529297"
KSZL,large_airport,Whiteman Air Force Base,870.0,,US,US-MO,Knob Noster,KSZL,SZL,SZL,"-93.547897338867, 38.73030090332"
KTBN,medium_airport,Waynesville-St. Robert Regional Forney field,1159.0,,US,US-MO,Fort Leonard Wood,KTBN,TBN,TBN,"-92.14070129, 37.74160004"
KTCC,medium_airport,Tucumcari Municipal Airport,4065.0,,US,US-NM,Tucumcari,KTCC,TCC,TCC,"-103.602996826, 35.182800293"
KTCL,medium_airport,Tuscaloosa Regional Airport,170.0,,US,US-AL,Tuscaloosa,KTCL,TCL,TCL,"-87.611396789551, 33.220600128174"
KTCM,large_airport,McChord Air Force Base,322.0,,US,US-WA,Tacoma,KTCM,TCM,TCM,"-122.475997925, 47.1376991272"
KTCS,medium_airport,Truth Or Consequences Municipal Airport,4853.0,,US,US-NM,Truth Or Consequences,KTCS,TCS,TCS,"-107.272003174, 33.2369003296"
KTEB,medium_airport,Teterboro Airport,9.0,,US,US-NJ,Teterboro,KTEB,TEB,TEB,"-74.060798645, 40.85010147089999"
KTIK,large_airport,Tinker Air Force Base,1291.0,,US,US-OK,Oklahoma City,KTIK,TIK,TIK,"-97.386596679688, 35.414699554443"
KTIW,medium_airport,Tacoma Narrows Airport,294.0,,US,US-WA,Tacoma,KTIW,TIW,TIW,"-122.5780029, 47.26789856"
KTIX,medium_airport,Space Coast Regional Airport,34.0,,US,US-FL,Titusville,KTIX,TIX,TIX,"-80.799201965332, 28.514799118042"
KTLH,large_airport,Tallahassee Regional Airport,81.0,,US,US-FL,Tallahassee,KTLH,TLH,TLH,"-84.35030364990234, 30.396499633789062"
KTMB,medium_airport,Miami Executive Airport,8.0,,US,US-FL,Miami,KTMB,TMB,TMB,"-80.4328, 25.6479"
KTOI,medium_airport,Troy Municipal Airport at N Kenneth Campbell Field,398.0,,US,US-AL,Troy,KTOI,TOI,TOI,"-86.012101, 31.860399"
KTOL,large_airport,Toledo Express Airport,683.0,,US,US-OH,Toledo,KTOL,TOL,TOL,"-83.80780029, 41.58679962"
KTOP,medium_airport,Philip Billard Municipal Airport,881.0,,US,US-KS,Topeka,KTOP,TOP,TOP,"-95.622497558594, 39.068698883057"
KTPA,large_airport,Tampa International Airport,26.0,,US,US-FL,Tampa,KTPA,TPA,TPA,"-82.533203125, 27.975500106811523"
KTPH,medium_airport,Tonopah Airport,5430.0,,US,US-NV,Tonopah,KTPH,TPH,TPH,"-117.086998, 38.06019974"
KTPL,medium_airport,Draughon Miller Central Texas Regional Airport,682.0,,US,US-TX,Temple,KTPL,TPL,TPL,"-97.40779876708984, 31.15250015258789"
KTRI,large_airport,Tri-Cities Regional TN/VA Airport,1519.0,,US,US-TN,Bristol/Johnson/Kingsport,KTRI,TRI,TRI,"-82.407401, 36.475201"
KTRK,medium_airport,Truckee Tahoe Airport,5900.0,,US,US-CA,Truckee,KTRK,TKF,TRK,"-120.13999939, 39.319999694799996"
KTRM,medium_airport,Jacqueline Cochran Regional Airport,-115.0,,US,US-CA,Palm Springs,KTRM,TRM,TRM,"-116.16000366211, 33.62670135498"
KTTD,medium_airport,Portland Troutdale Airport,39.0,,US,US-OR,Portland,KTTD,TTD,TTD,"-122.40100097656, 45.54940032959"
KTTN,medium_airport,Trenton Mercer Airport,213.0,,US,US-NJ,Trenton,KTTN,TTN,TTN,"-74.8134994506836, 40.27669906616211"
KTTS,medium_airport,Nasa Shuttle Landing Facility Airport,10.0,,US,US-FL,Titusville,KTTS,,TTS,"-80.69450378417969, 28.614999771118164"
KTUL,large_airport,Tulsa International Airport,677.0,,US,US-OK,Tulsa,KTUL,TUL,TUL,"-95.88809967041016, 36.19839859008789"
KTUP,medium_airport,Tupelo Regional Airport,346.0,,US,US-MS,Tupelo,KTUP,TUP,TUP,"-88.7698974609375, 34.26810073852539"
KTUS,large_airport,Tucson International Airport / Morris Air National Guard Base,2643.0,,US,US-AZ,Tucson,KTUS,TUS,TUS,"-110.938053, 32.115004"
KTVC,medium_airport,Cherry Capital Airport,624.0,,US,US-MI,Traverse City,KTVC,TVC,TVC,"-85.58219909667969, 44.74140167236328"
KTVL,medium_airport,Lake Tahoe Airport,6264.0,,US,US-CA,South Lake Tahoe,KTVL,TVL,TVL,"-119.99500274658203, 38.89390182495117"
KTWF,medium_airport,Joslin Field Magic Valley Regional Airport,4154.0,,US,US-ID,Twin Falls,KTWF,TWF,TWF,"-114.487999, 42.4818"
KTXK,medium_airport,Texarkana Regional Webb Field,390.0,,US,US-AR,Texarkana,KTXK,TXK,TXK,"-93.99099731445312, 33.45370101928711"
KTYR,medium_airport,Tyler Pounds Regional Airport,544.0,,US,US-TX,Tyler,KTYR,TYR,TYR,"-95.40239715576172, 32.35409927368164"
KTYS,large_airport,McGhee Tyson Airport,981.0,,US,US-TN,Knoxville,KTYS,TYS,TYS,"-83.9940033, 35.81100082"
KUAO,medium_airport,Aurora State Airport,200.0,,US,US-OR,Aurora,KUAO,,UAO,"-122.7699966430664, 45.247100830078125"
KUIN,medium_airport,Quincy Regional Baldwin Field,768.0,,US,US-IL,Quincy,KUIN,UIN,UIN,"-91.19460297, 39.94269943"
KUKI,medium_airport,Ukiah Municipal Airport,614.0,,US,US-CA,Ukiah,KUKI,UKI,UKI,"-123.20099639893, 39.125999450684"
KUNV,medium_airport,University Park Airport,1239.0,,US,US-PA,State College,KUNV,SCE,UNV,"-77.84870147710001, 40.8493003845"
KUOX,medium_airport,University Oxford Airport,452.0,,US,US-MS,Oxford,KUOX,UOX,UOX,"-89.536796569824, 34.384300231934"
KUTS,medium_airport,Huntsville Regional Airport,363.0,,US,US-TX,Huntsville,KUTS,HTV,UTS,"-95.5871963501, 30.7469005585"
KVAD,medium_airport,Moody Air Force Base,233.0,,US,US-GA,Valdosta,KVAD,VAD,VAD,"-83.1930007935, 30.9678001404"
KVBG,large_airport,Vandenberg Air Force Base,369.0,,US,US-CA,Lompoc,KVBG,VBG,VBG,"-120.583999634, 34.7373008728"
KVCT,medium_airport,Victoria Regional Airport,115.0,,US,US-TX,Victoria,KVCT,VCT,VCT,"-96.91850280761719, 28.85260009765625"
KVEL,medium_airport,Vernal Regional Airport,5278.0,,US,US-UT,Vernal,KVEL,VEL,VEL,"-109.5100021, 40.4408989"
KVGT,medium_airport,North Las Vegas Airport,2205.0,,US,US-NV,Las Vegas,KVGT,VGT,VGT,"-115.19400024414, 36.21070098877"
KVLD,medium_airport,Valdosta Regional Airport,203.0,,US,US-GA,Valdosta,KVLD,VLD,VLD,"-83.27670288085938, 30.782499313354492"
KVNY,medium_airport,Van Nuys Airport,802.0,,US,US-CA,Van Nuys,KVNY,VNY,VNY,"-118.48999786377, 34.209800720215"
KVOK,medium_airport,Volk Field,912.0,,US,US-WI,Camp Douglas,KVOK,VOK,VOK,"-90.253402709961, 43.938999176025"
KVPS,large_airport,Destin-Ft Walton Beach Airport,87.0,,US,US-FL,Valparaiso,KVPS,VPS,VPS,"-86.525398, 30.4832"
KVPZ,medium_airport,Porter County Municipal Airport,770.0,,US,US-IN,Valparaiso,KVPZ,VPZ,VPZ,"-87.00710297, 41.45399857"
KVRB,medium_airport,Vero Beach Regional Airport,24.0,,US,US-FL,Vero Beach,KVRB,VRB,VRB,"-80.417901, 27.6556"
KVTN,medium_airport,Miller Field,2596.0,,US,US-NE,Valentine,KVTN,VTN,VTN,"-100.5479965, 42.85779953"
KW63,medium_airport,Lake Country Regional Airport,421.0,,US,US-VA,Clarksville,KW63,,W63,"-78.56009674070002, 36.5957984924"
KWJF,medium_airport,General WM J Fox Airfield,2351.0,,US,US-CA,Lancaster,KWJF,WJF,WJF,"-118.2190018, 34.74110031"
KWMC,medium_airport,Winnemucca Municipal Airport,4308.0,,US,US-NV,Winnemucca,KWMC,WMC,WMC,"-117.805999756, 40.8965988159"
KWRB,large_airport,Robins Air Force Base,294.0,,US,US-GA,Warner Robins,KWRB,WRB,WRB,"-83.5919036865, 32.6400985718"
KWRI,medium_airport,Mc Guire Air Force Base,131.0,,US,US-NJ,Wrightstown,KWRI,WRI,WRI,"-74.59169769, 40.0155983"
KWRL,medium_airport,Worland Municipal Airport,4227.0,,US,US-WY,Worland,KWRL,WRL,WRL,"-107.95099639892578, 43.9656982421875"
KWWD,medium_airport,Cape May County Airport,23.0,,US,US-NJ,Wildwood,KWWD,WWD,WWD,"-74.9083023071, 39.008499145500004"
KWWR,medium_airport,West Woodward Airport,2189.0,,US,US-OK,Woodward,KWWR,WWR,WWR,"-99.5226667, 36.438"
KWYS,medium_airport,Yellowstone Airport,6649.0,,US,US-MT,West Yellowstone,KWYS,WYS,WYS,"-111.1179962, 44.68840027"
KXMR,medium_airport,Cape Canaveral AFS Skid Strip,10.0,,US,US-FL,Cocoa Beach,KXMR,,XMR,"-80.56659698490002, 28.4675998688"
KXNA,medium_airport,Northwest Arkansas Regional Airport,1287.0,,US,US-AR,Fayetteville/Springdale/Rogers,KXNA,XNA,XNA,"-94.306801, 36.281898"
KXTA,medium_airport,Homey (Area 51) Airport,4462.0,,US,US-NV,Groom Lake,KXTA,,,"-115.81099700927734, 37.23500061035156"
KYIP,medium_airport,Willow Run Airport,716.0,,US,US-MI,Detroit,KYIP,YIP,YIP,"-83.53040314, 42.23789978"
KYKM,medium_airport,Yakima Air Terminal McAllister Field,1099.0,,US,US-WA,Yakima,KYKM,YKM,YKM,"-120.5439987, 46.56819916"
KYKN,medium_airport,Chan Gurney Municipal Airport,1306.0,,US,US-SD,Yankton,KYKN,YKN,YKN,"-97.385902404785, 42.916698455811"
KYNG,medium_airport,Youngstown Warren Regional Airport,1192.0,,US,US-OH,Youngstown/Warren,KYNG,YNG,YNG,"-80.67910004, 41.26070023"
KZZV,medium_airport,Zanesville Municipal Airport,900.0,,US,US-OH,Zanesville,KZZV,ZZV,ZZV,"-81.89209747310001, 39.9444007874"
PAAQ,medium_airport,"Warren ""Bud"" Woods Palmer Municipal Airport",242.0,,US,US-AK,Palmer,PAAQ,PAQ,PAQ,"-149.08901, 61.594898"
PABA,medium_airport,Barter Island LRRS Airport,2.0,,US,US-AK,Barter Island Lrrs,PABA,BTI,BTI,"-143.582000732, 70.1340026855"
PABE,medium_airport,Bethel Airport,126.0,,US,US-AK,Bethel,PABE,BET,BET,"-161.8379974, 60.77980042"
PABI,medium_airport,Allen Army Airfield,1291.0,,US,US-AK,Delta Junction Ft Greely,PABI,BIG,BIG,"-145.722000122, 63.9944992065"
PABL,medium_airport,Buckland Airport,31.0,,US,US-AK,Buckland,PABL,BKC,BVK,"-161.149002, 65.981598"
PABR,medium_airport,Wiley Post Will Rogers Memorial Airport,44.0,,US,US-AK,UtqiaÃ„Â¡vik,PABR,BRW,BRW,"-156.766008, 71.285402"
PABT,medium_airport,Bettles Airport,647.0,,US,US-AK,Bettles,PABT,BTT,BTT,"-151.529007, 66.91390228"
PABV,medium_airport,Birchwood Airport,83.0,,US,US-AK,Birchwood,PABV,,BCV,"-149.5070038, 61.41650009"
PACD,medium_airport,Cold Bay Airport,96.0,,US,US-AK,Cold Bay,PACD,CDB,CDB,"-162.72500610351562, 55.20610046386719"
PACL,medium_airport,Clear Airport,552.0,,US,US-AK,Clear,PACL,,Z84,"-149.119995, 64.301201"
PACM,medium_airport,Scammon Bay Airport,14.0,,US,US-AK,Scammon Bay,PACM,SCM,SCM,"-165.570999146, 61.845298767100005"
PACV,medium_airport,Merle K (Mudhole) Smith Airport,54.0,,US,US-AK,Cordova,PACV,CDV,CDV,"-145.4779968, 60.4917984"
PACZ,medium_airport,Cape Romanzof LRRS Airport,464.0,,US,US-AK,Cape Romanzof,PACZ,CZF,CZF,"-166.0390015, 61.78030014"
PADE,medium_airport,Deering Airport,21.0,,US,US-AK,Deering,PADE,DRG,DEE,"-162.766006, 66.069603"
PADK,medium_airport,Adak Airport,18.0,,US,US-AK,Adak Island,PADK,ADK,ADK,"-176.64599609375, 51.87799835205078"
PADL,medium_airport,Dillingham Airport,81.0,,US,US-AK,Dillingham,PADL,DLG,DLG,"-158.5050049, 59.04470062"
PADM,medium_airport,Marshall Don Hunter Sr Airport,103.0,,US,US-AK,Marshall,PADM,MLL,MDM,"-162.026000977, 61.8642997742"
PADQ,medium_airport,Kodiak Airport,78.0,,US,US-AK,Kodiak,PADQ,ADQ,ADQ,"-152.4940033, 57.75"
PADU,medium_airport,Unalaska Airport,22.0,,US,US-AK,Unalaska,PADU,DUT,DUT,"-166.544006348, 53.900100708"
PAED,medium_airport,Elmendorf Air Force Base,212.0,,US,US-AK,Anchorage,PAED,EDF,EDF,"-149.8070068359375, 61.250999450683594"
PAEH,medium_airport,Cape Newenham LRRS Airport,541.0,,US,US-AK,Cape Newenham,PAEH,EHM,EHM,"-162.06300354, 58.646400451699996"
PAEI,medium_airport,Eielson Air Force Base,547.0,,US,US-AK,Fairbanks,PAEI,EIL,EIL,"-147.102005, 64.66570282"
PAEM,medium_airport,Emmonak Airport,13.0,,US,US-AK,Emmonak,PAEM,EMK,ENM,"-164.4909973, 62.78609848"
PAEN,medium_airport,Kenai Municipal Airport,99.0,,US,US-AK,Kenai,PAEN,ENA,ENA,"-151.2449951171875, 60.57310104370117"
PAFA,large_airport,Fairbanks International Airport,439.0,,US,US-AK,Fairbanks,PAFA,FAI,FAI,"-147.8560028, 64.81510162"
PAFB,medium_airport,Ladd AAF Airfield,454.0,,US,US-AK,Fairbanks/Ft Wainwright,PAFB,FBK,FBK,"-147.6139984, 64.83750153"
PAFE,medium_airport,Kake Airport,172.0,,US,US-AK,Kake,PAFE,,AFE,"-133.910003662, 56.9613990784"
PAFM,medium_airport,Ambler Airport,334.0,,US,US-AK,Ambler,PAFM,ABL,AFM,"-157.856989, 67.1063"
PAGA,medium_airport,Edward G. Pitka Sr Airport,153.0,,US,US-AK,Galena,PAGA,GAL,GAL,"-156.9369965, 64.73619843"
PAGK,medium_airport,Gulkana Airport,1586.0,,US,US-AK,Gulkana,PAGK,GKN,GKN,"-145.4570007, 62.1548996"
PAGM,medium_airport,Gambell Airport,27.0,,US,US-AK,Gambell,PAGM,GAM,GAM,"-171.73300170898438, 63.76679992675781"
PAGS,medium_airport,Gustavus Airport,35.0,,US,US-AK,Gustavus,PAGS,GST,GST,"-135.7070007, 58.4253006"
PAHC,medium_airport,Holy Cross Airport,70.0,,US,US-AK,Holy Cross,PAHC,HCR,HCA,"-159.77499389648438, 62.18830108642578"
PAHL,medium_airport,Huslia Airport,220.0,,US,US-AK,Huslia,PAHL,HSL,HLA,"-156.3509979, 65.69789886"
PAHN,medium_airport,Haines Airport,15.0,,US,US-AK,Haines,PAHN,HNS,HNS,"-135.5240020751953, 59.24380111694336"
PAHO,medium_airport,Homer Airport,84.0,,US,US-AK,Homer,PAHO,HOM,HOM,"-151.4770050048828, 59.645599365234375"
PAHP,medium_airport,Hooper Bay Airport,13.0,,US,US-AK,Hooper Bay,PAHP,HPB,HPB,"-166.1470032, 61.52389908"
PAII,medium_airport,Egegik Airport,92.0,,US,US-AK,Egegik,PAII,EGX,EII,"-157.375, 58.1855010986"
PAIK,medium_airport,Bob Baker Memorial Airport,166.0,,US,US-AK,Kiana,PAIK,IAN,IAN,"-160.43699646, 66.9759979248"
PAIL,medium_airport,Iliamna Airport,192.0,,US,US-AK,Iliamna,PAIL,ILI,ILI,"-154.9109955, 59.75439835"
PAIM,medium_airport,Indian Mountain LRRS Airport,1273.0,,US,US-AK,Utopia Creek,PAIM,UTO,UTO,"-153.7039948, 65.99279785"
